OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOVASAR 1,2018-071B,2026-01-26T14:39:42.562656,14.96230978,.00012898,97.5279,264.5432,100.1130,260.0237,0,U,43619,999,40176,.16389913E-3,.1794E-4,0
BEIDOU-3 M13,2018-072A,2026-01-25T16:56:20.961024,1.86230964,.00077644,56.4969,67.3641,300.9596,59.0288,0,U,43622,999,5000,0,-.28E-6,0
BEIDOU-3 M14,2018-072B,2026-01-25T13:42:37.048896,1.86231021,.00050117,56.4985,67.3626,323.5486,36.4822,0,U,43623,999,4999,0,-.27E-6,0
AZERSPACE 2 (IS-38),2018-074A,2026-01-26T13:54:44.269920,1.00270226,.00015257,0.0119,54.5297,245.5020,79.6185,0,U,43632,999,2702,0,.148E-5,0
HORIZONS-3E,2018-074B,2026-01-26T04:13:47.433216,1.00269800,.0000403,0.0423,241.5341,74.5873,41.7669,0,U,43633,999,2691,0,-.18E-6,0
CENTISPACE-1 S1,2018-075A,2026-01-26T13:51:26.228160,14.59817992,.00081531,97.8883,57.3409,197.8093,162.2823,0,U,43636,999,38989,.21070807E-3,.964E-5,0
SAOCOM 1A,2018-076A,2026-01-26T15:12:48.263616,14.82169852,.00015368,97.8864,215.4044,83.5223,276.6165,0,U,43641,999,39513,.12438316E-3,.938E-5,0
YAOGAN-32 A,2018-077A,2026-01-25T04:32:27.427776,14.63083516,.00009828,98.1447,55.3570,66.1620,293.9685,0,U,43642,999,38893,.35657856E-3,.1784E-4,0
YAOGAN-32 B,2018-077B,2026-01-26T18:16:35.683968,14.63440971,.0003005,98.1649,56.8614,291.6516,68.4366,0,U,43643,999,38915,.30683E-6,-.46E-6,0
BEIDOU-3 M16,2018-078A,2026-01-26T06:22:18.191712,1.86232168,.00080467,54.2191,304.9636,25.2033,334.8730,0,U,43647,999,4951,0,-.59E-6,0
BEIDOU-3 M15,2018-078B,2026-01-23T04:09:12.102336,1.86232360,.00046749,54.2184,305.0728,25.9712,334.0960,0,U,43648,999,4947,0,-.49E-6,0
AEHF-4 (USA 288),2018-079A,2026-01-26T11:49:38.776224,1.00273054,.00629625,1.4300,351.5479,359.2765,244.8476,0,U,43651,999,2687,0,-.261E-5,0
